,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Image,Title
0,,,Taylen Blaylock,DB,5-10,195.0,So.,"Humble, Texas",Lindenwood,Atascocita,Sam Houston State,,
1,,,Mac Busteed,TE,6-6,225.0,Fr.,"Fort Collins, Colo.",Lindenwood,Fossil Ridge,,,
2,,,Nate Compere,OL,6-4,260.0,Fr.,"Crystal Lake, Ill.",Lindenwood,Crystal Lake South,,,
3,,,Luke Cook,DB,6-3,180.0,Fr.,"Bethpage, Tenn.",Lindenwood,Gallatin,,,
4,,,Finau Fine,DL,6-5,259.0,So.,"Kissimmee, Fla.",Lindenwood,Gateway,Stetson,,
5,,,Gabe Gaines,OL,6-4,275.0,Fr.,"Choctaw, Okla",Lindenwood,Choctaw,,,
6,,,Chris Gannaway,RB,5-10,175.0,Fr.,"Bryant, Ark.",Lindenwood,Bryant,,,
7,,,Bryce Giesler,RB,5-10,175.0,Fr.,"Ste. Genevieve, Mo.",Lindenwood,Valle Catholic,,,
8,,,Von Gordon,RB,5-11,215.0,Jr.,"North Chicago, Ill.",Lindenwood,North Chicago,West Hills JC,,
9,,,Thomas Gothard,DB,6-2,185.0,Fr.,"Tulsa, Okla.",Lindenwood,Union,,,
10,,,Will Graham,K,5-10,145.0,Fr.,"Centralia, Ill.",Lindenwood,Centralia,,,
11,,,Zach Hahn,WR,5-11,182.0,R-Jr.,"St. Louis, Mo.",Lindenwood,CBC,Missouri,,
12,,,Steve Hall,RB,5-11,205.0,Fr.,"St. Louis, Mo.",Lindenwood,MICDS,,,
13,,,Anthony Hills,WR,6-3,190.0,Fr.,"Owasso, Okla.",Lindenwood,Owasso,,,
14,,,Logan Hunter,OL,6-4,280.0,Fr.,"Johnston City, Ill.",Lindenwood,Johnston City,,,
15,,,Tobias Jewell,DB,6-3,165.0,Fr.,"Milwaukee, Wis.",Lindenwood,Riverside,,,
16,,,Jaydyn Johnson,DB,6-2,211.0,So.,"Dunbar, W.Va.",Lindenwood,Cabell Midland,Marshall,,
17,,,Cooper Justice,QB,6-6,240.0,So.,"Tigard, Ore.",Lindenwood,Lakeridge,Utah/Hutchinson JC,,
18,,,Jamison Kemp,DL,6-2,290.0,Fr.,"Omaha, Neb.",Lindenwood,Omaha Central,,,
19,,,Tyler Kubat,QB,6-5,205.0,Fr.,"Fort Collins, Colo.",Lindenwood,Fossil Ridge,,,
20,,,Zach Lewis,LB,6-1,220.0,Fr.,"Superior, Colo.",Lindenwood,Fairview,,,
21,,,Dea'blo McGee,WR,6-2,188.0,So.,"St. Louis, Mo.",Lindenwood,Roosevelt,Butler Community College,,
22,,,George Miki-Han,OL,6-0,310.0,So.,"Irvine, Calif.",Lindenwood,Mater Dei,Colorado State,,
23,,,Josh Newkirk,DB,6-3,175.0,Fr.,"Bixby, Okla.",Lindenwood,Bixby,,,
24,,,Will Nicholson,LB,6-3,195.0,Fr.,"Belleville, Ill.",Lindenwood,Belleville West,,,
25,,,Tajay Passmore,DL,6-2,275.0,Jr.,"Queens, N.Y.",Lindenwood,Mater Dei,Wagner,,
26,,,Gavin Shaigineik,QB,6-0,155.0,Fr.,"Rancho Santa Margarita, Calif.",Lindenwood,Tesoro,,,
27,,,Jalen Smith,WR,6-4,190.0,Fr.,"Shiloh, Ill.",Lindenwood,O'Fallon Township,,,
28,,,Ethan Stuhlsatz,LB,6-5,212.0,So.,"Wichita, Kan.",Lindenwood,Kapuan Mt. Carmel,Butler CC,,
29,,,Jack Stump,DL,6-2,230.0,Fr.,"Morton, Ill.",Lindenwood,Morton,,,
30,,,Cole Watson,TE,6-4,225.0,Fr.,"Lawrence, Kan.",Lindenwood,Lawrence,,,
31,,,Andrew Zook,DL,6-4,250.0,Fr.,"Yorkville, Ill.",Lindenwood,Yorkville,,,
0,,,Jed Stugart,,,,,,Lindenwood,,,,Head Coach
1,,,Dusty Hovorka,,,,,,Lindenwood,,,,Offensive Coordinator
2,,,Eric Inama,,,,,,Lindenwood,,,,Defensive Coordinator/NFL Liaison
3,,,Bryan Baldwin,,,,,,Lindenwood,,,,Special Teams Coordinator/Defensive Backs
4,,,Jarrett Grabbe,,,,,,Lindenwood,,,,Defensive Line
5,,,Tore' Hurst,,,,,,Lindenwood,,,,Wide Receivers
6,,,Denver Johnson,,,,,,Lindenwood,,,,Offensive Line
7,,,Corey Bethany,,,,,,Lindenwood,,,,Video Coordinator/Quarterbacks
8,,,Pat Stewart,,,,,,Lindenwood,,,,Linebackers
9,,,Mark Goldenberg,,,,,,Lindenwood,,,,Tight Ends
10,,,Lane Lawson,,,,,,Lindenwood,,,,Assistant Linebackers
11,,,Alex Garcia,,,,,,Lindenwood,,,,Defensive Line
12,,,Anthony Jones,,,,,,Lindenwood,,,,Recruiting Coordinator/Running Backs
13,,,Jack Storm,,,,,,Lindenwood,,,,Defensive Analyst
14,,,Corey Newsome,,,,,,Lindenwood,,,,Defensive Analyst
15,,,JC Hull,,,,,,Lindenwood,,,,"Athletic Performance, Football"
16,,,Keagan Roberson,,,,,,Lindenwood,,,,Director of Football Operations
17,,,Blake Moore,,,,,,Lindenwood,,,,Defensive Quality Control
18,,,Zeke Scott,,,,,,Lindenwood,,,,Offensive Quality Control
