,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Name,Title
0,,,Javier Anderson,S,-,Jr.,"Newport News, Virginia /",,,
1,,,Cayden Betts,RB,-,Jr.,"Corinth, Mississippi /",,,
2,,,Caleb Canada,DB,-,Jr.,"Madison, Mississippi /",,,
3,,,Kobe Chambers,WR,-,Jr.,"Greenwood, Mississippi /",,,
4,,,Zeilon Chestnut,DL,-,Jr.,"Clarksdale, Mississippi /",,,
5,,,Jaxson Davis,TE,-,Fr.,"Glenn Heights, Texas / Desoto High School",,,
6,,,Chris Fagan,DB,-,Jr.,"Cedar Hill, Texas /",,,
7,,,Kyrrae Franklin,WR,-,Fr.,"Germantown, Tennessee / Germantown High School",,,
8,,,Donavin Green,DB,-,Fr.,"Yazoo City, Mississippi / Yazoo City High School",,,
9,,,Tre Griffin,OL,-,Jr.,"Lambert, Mississippi /",,,
10,,,Fred Harris Jr.,LB,-,Jr.,"Brandon, Mississippi /",,,
11,,,Ben Hollowell,OL,-,Fr.,"Memphis, Tennessee / Raleigh Egypt High School",,,
12,,,Zamariyon Kendall,RB,-,Fr.,Lausanne Collegiate /,,,
13,,,Von Killins,DB,-,Jr.,"Daytona Beach, Florida /",,,
14,,,Dejuan Lacy,RB,-,Fr.,"Fort Worth, Texas / North Crowley High School",,,
15,,,Clarence Livingston,OL,-,Fr.,"Memphis, Tennessee / Fairley High School",,,
16,,,Brendon Magee,OL,-,Fr.,"Jackson, Mississippi / Ridgeland High School",,,
17,,,Gregory Martin,WR,-,Fr.,"Memphis, Tennessee / Oakhaven High School",,,
18,,,Cole Parker,OL,-,Fr.,"Madison, Mississippi / Madison Ridgeland ACA",,,
19,,,Markwan Perkins,OL,-,Jr.,"Hattiesburg, Mississippi /",,,
20,,,Tyson Pirtle,DL,-,Fr.,"Knoxville, Tennessee / Bearden High School",,,
21,,,Devin Pitts,OL,-,Jr.,"East Little Rock, Arkansas /",,,
22,,,Ryan Quinney,LB,-,Jr.,"Mobile, Alabama /",,,
23,,,Bobby Shanklin,RB,-,Jr.,"Macon, Mississippi /",,,
24,,,Jaydyn Sisk,QB,-,Fr.,"Desoto, Texas / White High School",,,
25,,,Demario Smith,DB,-,Fr.,"Memphis, Tennessee / Whitehaven High School",,,
26,,,Deontez White,WR,-,Jr.,"Camden, Mississippi /",,,
27,,,Amir Williams,DB,-,Fr.,"Greenwood, Mississippi / Greenwood High School",,,
28,,,Brandon Williams,DB,-,Jr.,"Lafayette, Louisiana /",,,
29,,,Ty'Jarian Williams,QB,-,Fr.,"Aliceville, Alabama / Aliceville High School",,,
0,,,,,,,,,Kendrick Wade,Head Coach
1,,,,,,,,,Jeremy Patterson,Assistant Head Coach/Special Teams Coordinator/LB
2,,,,,,,,,Jesse Thompson,Associate Head Coach/Defensive Coordinator/DB
3,,,,,,,,,Eli Johnson,Offensive Coordinator/OL
4,,,,,,,,,Wyatt Anderson,Running Back Coach/Run Game & Recruiting Coordinator
5,,,,,,,,,R. Amir Gant,Wide Receiver Coach/Passing Game Coordinator
6,,,,,,,,,Paul Holmes,Quarterback Coach
7,,,,,,,,,Zane Samuel,Defensive Line Coach
0,,,,,,,,,Antwoine Williams Sr.,Director of Football Operations / Academic Liason
1,,,,,,,,,Marlon Wikins,Defensive Graduate Assistant
2,,,,,,,,,Caleb Brunson,Defensive Graduate Assistant
